null,null,dbus_message_iter_get_signature_APIParam_0 must be freed with dbus_free_APIName,dbus_message_iter_get_signature_APIParam_0 must be freed with dbus_free_APIName,libdbus
If dbus_message_iter_open_container_APIName fails,If dbus_message_iter_open_container_APIName fails,"the sub-iterator remains invalid , and must not be closed with dbus_message_iter_close_container_APIName or abandoned with dbus_message_iter_abandon_container_APIName","the dbus_message_iter_open_container_APIParam_4 remains invalid , and must not be closed with dbus_message_iter_close_container_APIName or abandoned with dbus_message_iter_abandon_container_APIName",libdbus
null,null,dbus_message_iter_get_array_len_APIName is deprecated on the grounds that it is stupid,dbus_message_iter_get_array_len_APIName is deprecated on the grounds that it is stupid,libdbus
null,null,"that is , you recurse into the array , and you call dbus_message_iter_get_fixed_array_APIName on the `` sub-iterator '' created by dbus_message_iter_recurse_APIName","that is , you recurse into the array , and you call dbus_message_iter_get_fixed_array_APIName on the  dbus_message_iter_recurse_APIParam_2  created by dbus_message_iter_recurse_APIName",libdbus
null,null,dbus_message_get_sender_APIName return the unique name of the sender or NULL,dbus_message_get_sender_APIName return the unique name of the sender or NULL,libdbus
null,null,dbus_malloc_APIParam_0 must be released with dbus_free_APIName,dbus_malloc_APIParam_0 must be released with dbus_free_APIName,libdbus
null,null,dbus_error_has_name_APIName return TRUE if the given named dbus_error_has_name_APIParam_1 occurred,dbus_error_has_name_APIName return TRUE if the given named dbus_error_has_name_APIParam_1 occurred,libdbus
null,null,dbus_error_is_set_APIName return TRUE if an dbus_error_is_set_APIParam_1 occurred,dbus_error_is_set_APIName return TRUE if an dbus_error_is_set_APIParam_1 occurred,libdbus
null,null,dbus_pending_call_get_completed_APIName return TRUE if a reply has been received,dbus_pending_call_get_completed_APIName return TRUE if a reply has been received,libdbus
null,null,dbus_pending_call_set_data_APIName return TRUE if there was enough memory to store the dbus_pending_call_set_data_APIParam_3,dbus_pending_call_set_data_APIName return TRUE if there was enough memory to store the dbus_pending_call_set_data_APIParam_3,libdbus
null,null,dbus_message_contains_unix_fds_APIName return TRUE if the dbus_message_contains_unix_fds_APIParam_1 contains unix fds,dbus_message_contains_unix_fds_APIName return TRUE if the dbus_message_contains_unix_fds_APIParam_1 contains unix fds,libdbus
null,null,"dbus_message_demarshal_bytes_needed_APIName return -1 if there was no valid data to be demarshalled, 0 if there wasn't enough data to determine how much should be demarshalled","dbus_message_demarshal_bytes_needed_APIName return _1 if there was no valid data to be demarshalled, 0 if there wasn't enough data to determine how much should be demarshalled",libdbus
null,null,dbus_message_get_args_APIName return FALSE if the dbus_message_get_args_APIParam_2 was set,dbus_message_get_args_APIName return FALSE if the dbus_message_get_args_APIParam_2 was set,libdbus
null,null,dbus_message_get_args_valist_APIName return FALSE if dbus_message_get_args_valist_APIParam_2 was set,dbus_message_get_args_valist_APIName return FALSE if dbus_message_get_args_valist_APIParam_2 was set,libdbus
null,null,dbus_message_get_auto_start_APIName return TRUE if the dbus_message_get_auto_start_APIParam_1 will use auto-start,dbus_message_get_auto_start_APIName return TRUE if the dbus_message_get_auto_start_APIParam_1 will use auto_start,libdbus
null,null,dbus_message_get_no_reply_APIName return TRUE if the dbus_message_get_no_reply_APIParam_1 sender is not waiting for a reply,dbus_message_get_no_reply_APIName return TRUE if the dbus_message_get_no_reply_APIParam_1 sender is not waiting for a reply,libdbus
null,null,dbus_message_get_path_decomposed_APIName return FALSE if no memory to allocate the array,dbus_message_get_path_decomposed_APIName return FALSE if no memory to allocate the array,libdbus
null,null,dbus_message_has_destination_APIName return TRUE if the dbus_message_has_destination_APIParam_1 has the given destination dbus_message_has_destination_APIParam_2,dbus_message_has_destination_APIName return TRUE if the dbus_message_has_destination_APIParam_1 has the given destination dbus_message_has_destination_APIParam_2,libdbus
null,null,dbus_message_has_member_APIName return TRUE if there is a dbus_message_has_member_APIParam_2 field in the header,dbus_message_has_member_APIName return TRUE if there is a dbus_message_has_member_APIParam_2 field in the header,libdbus
null,null,dbus_message_has_path_APIName return TRUE if there is a dbus_message_has_path_APIParam_2 field in the header,dbus_message_has_path_APIName return TRUE if there is a dbus_message_has_path_APIParam_2 field in the header,libdbus
null,null,dbus_message_has_sender_APIName return TRUE if the dbus_message_has_sender_APIParam_1 has the given sender,dbus_message_has_sender_APIName return TRUE if the dbus_message_has_sender_APIParam_1 has the given sender,libdbus
null,null,dbus_message_has_signature_APIName return TRUE if dbus_message_has_signature_APIParam_1 has the given dbus_message_has_signature_APIParam_2,dbus_message_has_signature_APIName return TRUE if dbus_message_has_signature_APIParam_1 has the given dbus_message_has_signature_APIParam_2,libdbus
null,null,dbus_message_is_error_APIName return TRUE if the dbus_message_is_error_APIParam_1 is the specified error,dbus_message_is_error_APIName return TRUE if the dbus_message_is_error_APIParam_1 is the specified error,libdbus
null,null,dbus_message_is_method_call_APIName return TRUE if the dbus_message_is_method_call_APIParam_1 is the specified dbus_message_is_method_call_APIParam_3 call,dbus_message_is_method_call_APIName return TRUE if the dbus_message_is_method_call_APIParam_1 is the specified dbus_message_is_method_call_APIParam_3 call,libdbus
null,null,dbus_message_is_signal_APIName return TRUE if the dbus_message_is_signal_APIParam_1 is the specified signal,dbus_message_is_signal_APIName return TRUE if the dbus_message_is_signal_APIParam_1 is the specified signal,libdbus
null,null,dbus_message_iter_has_next_APIName return TRUE if there are more fields following,dbus_message_iter_has_next_APIName return TRUE if there are more fields following,libdbus
null,null,dbus_message_iter_init_APIName return FALSE if the dbus_message_iter_init_APIParam_1 has no arguments,dbus_message_iter_init_APIName return FALSE if the dbus_message_iter_init_APIParam_1 has no arguments,libdbus
null,null,dbus_message_iter_next_APIName return TRUE if the iterator was moved to the next field,dbus_message_iter_next_APIName return TRUE if the dbus_message_iter_next_APIParam_1 was moved to the next field,libdbus
null,null,dbus_message_marshal_APIName return FALSE if there was not enough memory,dbus_message_marshal_APIName return FALSE if there was not enough memory,libdbus
null,null,dbus_message_set_data_APIName return TRUE if there was enough memory to store the dbus_message_set_data_APIParam_3,dbus_message_set_data_APIName return TRUE if there was enough memory to store the dbus_message_set_data_APIParam_3,libdbus
null,null,dbus_set_error_from_message_APIName return TRUE if the dbus_set_error_from_message_APIParam_2 had type DBUS_MESSAGE_TYPE_ERROR,dbus_set_error_from_message_APIName return TRUE if the dbus_set_error_from_message_APIParam_2 had dbus_set_error_from_message_APIParam_2,libdbus
null,null,dbus_signature_iter_next_APIName return FALSE if nothing more to read at or below this level,dbus_signature_iter_next_APIName return FALSE if nothing more to read at or below this level,libdbus
null,null,dbus_signature_validate_APIName return TRUE if dbus_signature_validate_APIParam_1 is valid or FALSE if an dbus_signature_validate_APIParam_2 is set,dbus_signature_validate_APIName return TRUE if dbus_signature_validate_APIParam_1 is valid or FALSE if an dbus_signature_validate_APIParam_2 is set,libdbus
null,null,dbus_signature_validate_single_APIName return TRUE if dbus_signature_validate_single_APIParam_1 is valid and has exactly one complete type,dbus_signature_validate_single_APIName return TRUE if dbus_signature_validate_single_APIParam_1 is valid and has exactly one complete type,libdbus
null,null,dbus_type_is_basic_APIName return TRUE if type is basic,dbus_type_is_basic_APIName return TRUE if dbus_type_is_basic_APIParam_1 is basic,libdbus
null,null,dbus_type_is_container_APIName return TRUE if type is a container,dbus_type_is_container_APIName return TRUE if dbus_type_is_container_APIParam_1 is a container,libdbus
null,null,dbus_type_is_fixed_APIName return FALSE if the type can occupy different lengths,dbus_type_is_fixed_APIName return FALSE if the dbus_type_is_fixed_APIParam_1 can occupy different lengths,libdbus
null,null,dbus_server_set_auth_mechanisms_APIName return FALSE if no memory,dbus_server_set_auth_mechanisms_APIName return FALSE if no memory,libdbus
null,null,dbus_server_set_data_APIName return TRUE if there was enough memory to store the dbus_server_set_data_APIParam_3,dbus_server_set_data_APIName return TRUE if there was enough memory to store the dbus_server_set_data_APIParam_3,libdbus
null,null,dbus_validate_bus_name_APIName return TRUE if dbus_validate_bus_name_APIParam_1 is valid,dbus_validate_bus_name_APIName return TRUE if dbus_validate_bus_name_APIParam_1 is valid,libdbus
null,null,dbus_validate_error_name_APIName return TRUE if dbus_validate_error_name_APIParam_1 is valid,dbus_validate_error_name_APIName return TRUE if dbus_validate_error_name_APIParam_1 is valid,libdbus
null,null,dbus_validate_interface_APIName return TRUE if dbus_validate_interface_APIParam_1 is valid,dbus_validate_interface_APIName return TRUE if dbus_validate_interface_APIParam_1 is valid,libdbus
null,null,dbus_validate_member_APIName return TRUE if dbus_validate_member_APIParam_1 is valid,dbus_validate_member_APIName return TRUE if dbus_validate_member_APIParam_1 is valid,libdbus
