pcap_create_APIName and pcap_activate_APIName were not available in versions of libpcap prior to 1.0,null,pcap_create_APIName and pcap_activate_APIName were not available in versions of libpcap prior to 1.0,
you should use a non-zero timeout,null,you should use a non-zero timeout,
"If there is an error, or if pcap_init_APIName has been called, NULL is returned by pcap_lookupdev_APIName and errbuf is filled in with an appropriate error message",null,"If there is an error, or if pcap_init_APIName has been called, NULL is returned by pcap_lookupdev_APIName and errbuf is filled in with an appropriate error message.",
Note that in,null,Note that in,Note that in
"If pcap_get_required_select_timeout_APIName returns NULL, it is not possible to wait for packets to arrive on the device in an event loop",null,"If pcap_get_required_select_timeout_APIName returns NULL, it is not possible to wait for packets to arrive on the device in an event loop","Some network devices opened with pcap_create_APIName and pcap_activate_APIName, or with pcap_open_live_APIName, do not support those calls (for example, regular network devices on FreeBSD 4.3 and 4.4, and Endace DAG devices), so PCAP_ERROR be returned by pcap_get_selectable_fd_APIName for those devices. In that case, those calls must be given a timeout less than or equal to the timeout returned by pcap_get_required_select_timeout_APIName for the device for which pcap_get_selectable_fd_APIName returned PCAP_ERROR, the device must be put in non-blocking mode with a call to pcap_setnonblock_APIName, and an attempt must always be made to read packets from the device when the call returns. If pcap_get_required_select_timeout_APIName returns NULL, it is not possible to wait for packets to arrive on the device in an event loop"
A call to pcap_dispatch_APIName or pcap_next_ex_APIName will return 0  but will not block,null,"A call to pcap_dispatch_APIName or pcap_next_ex_APIName will return 0 in this case, but will not block","Note that a device on which a read can be done without blocking may, on some platforms, not have any packets to read if the packet buffer timeout has expired. A call to pcap_dispatch_APIName or pcap_next_ex_APIName will return 0 in this case, but will not block"
"Some network devices opened with pcap_create_APIName and pcap_activate_APIName, or with pcap_open_live_APIName, do not support those calls , so PCAP_ERROR be returned by pcap_get_selectable_fd_APIName for those devices",null,"Some network devices opened with pcap_create_APIName and pcap_activate_APIName, or with pcap_open_live_APIName, do not support those calls (for example, regular network devices on FreeBSD 4.3 and 4.4, and Endace DAG devices), so PCAP_ERROR be returned by pcap_get_selectable_fd_APIName for those devices.","Some network devices opened with pcap_create_APIName and pcap_activate_APIName, or with pcap_open_live_APIName, do not support those calls (for example, regular network devices on FreeBSD 4.3 and 4.4, and Endace DAG devices), so PCAP_ERROR be returned by pcap_get_selectable_fd_APIName for those devices. In that case, those calls must be given a timeout less than or equal to the timeout returned by pcap_get_required_select_timeout_APIName for the device for which pcap_get_selectable_fd_APIName returned PCAP_ERROR, the device must be put in non-blocking mode with a call to pcap_setnonblock_APIName, and an attempt must always be made to read packets from the device when the call returns. If pcap_get_required_select_timeout_APIName returns NULL, it is not possible to wait for packets to arrive on the device in an event loop"
pcap_get_selectable_fd_APIName is not available on Windows,null,pcap_get_selectable_fd_APIName is not available on Windows,pcap_get_selectable_fd_APIName is not available on Windows
FreeBSD prior to FreeBSD 4.6,null,FreeBSD prior to FreeBSD 4.6; NetBSD prior to NetBSD 3.0; OpenBSD prior to OpenBSD 2.4; Mac OS X prior to Mac OS X 10.7,FreeBSD prior to FreeBSD 4.6; NetBSD prior to NetBSD 3.0; OpenBSD prior to OpenBSD 2.4; Mac OS X prior to Mac OS X 10.7
A selectable file descriptor be returned by pcap_get_selectable_fd_APIName if one exists,null,"A selectable file descriptor be returned by pcap_get_selectable_fd_APIName if one exists; otherwise, PCAP_ERROR be returned by pcap_get_selectable_fd_APIName","A selectable file descriptor be returned by pcap_get_selectable_fd_APIName if one exists; otherwise, PCAP_ERROR be returned by pcap_get_selectable_fd_APIName"
"otherwise, PCAP_ERROR be returned by pcap_get_selectable_fd_APIName",null,"A selectable file descriptor be returned by pcap_get_selectable_fd_APIName if one exists; otherwise, PCAP_ERROR be returned by pcap_get_selectable_fd_APIName","A selectable file descriptor be returned by pcap_get_selectable_fd_APIName if one exists; otherwise, PCAP_ERROR be returned by pcap_get_selectable_fd_APIName"
NetBSD prior to NetBSD 3.0,null,FreeBSD prior to FreeBSD 4.6; NetBSD prior to NetBSD 3.0; OpenBSD prior to OpenBSD 2.4; Mac OS X prior to Mac OS X 10.7,FreeBSD prior to FreeBSD 4.6; NetBSD prior to NetBSD 3.0; OpenBSD prior to OpenBSD 2.4; Mac OS X prior to Mac OS X 10.7
OpenBSD prior to OpenBSD 2.4,null,FreeBSD prior to FreeBSD 4.6; NetBSD prior to NetBSD 3.0; OpenBSD prior to OpenBSD 2.4; Mac OS X prior to Mac OS X 10.7,FreeBSD prior to FreeBSD 4.6; NetBSD prior to NetBSD 3.0; OpenBSD prior to OpenBSD 2.4; Mac OS X prior to Mac OS X 10.7
Mac OS X prior to Mac OS X 10.7,null,FreeBSD prior to FreeBSD 4.6; NetBSD prior to NetBSD 3.0; OpenBSD prior to OpenBSD 2.4; Mac OS X prior to Mac OS X 10.7,FreeBSD prior to FreeBSD 4.6; NetBSD prior to NetBSD 3.0; OpenBSD prior to OpenBSD 2.4; Mac OS X prior to Mac OS X 10.7
pcap_set_buffer_size_APIName returns 0 on success or PCAP_ERROR_ACTIVATED if pcap_set_buffer_size_APIName is called on a capture handle that has been activated,null,pcap_set_buffer_size_APIName returns 0 on success or PCAP_ERROR_ACTIVATED if pcap_set_buffer_size_APIName is called on a capture handle that has been activated,pcap_set_buffer_size_APIName returns 0 on success or PCAP_ERROR_ACTIVATED if pcap_set_buffer_size_APIName is called on a capture handle that has been activated
pcap_offline_filter_APIName checks whether a filter matches a packet,null,pcap_offline_filter_APIName checks whether a filter matches a packet.,"pcap_offline_filter_APIName checks whether a filter matches a packet. pcap_offline_filter_APIParam_1 is a pointer to a bpf_program struct, usually the result of a call to pcap_compile_APIName. pcap_offline_filter_APIParam_2 points to the pcap_pkthdr structure for the packet, and pcap_offline_filter_APIParam_3 points to the data in the packet"
pcap_offline_filter_APIName returns the return value of the filter program,null,pcap_offline_filter_APIName returns the return value of the filter program.,pcap_offline_filter_APIName returns the return value of the filter program. This will be zero if the packet does not match the filter and non-zero if the packet matches the filter
"pcap_offline_filter_APIParam_1 is a pointer to a bpf_program struct , usually the result of a call to pcap_compile_APIName",null,"pcap_offline_filter_APIParam_1 is a pointer to a bpf_program struct, usually the result of a call to pcap_compile_APIName.","pcap_offline_filter_APIName checks whether a filter matches a packet. pcap_offline_filter_APIParam_1 is a pointer to a bpf_program struct, usually the result of a call to pcap_compile_APIName. pcap_offline_filter_APIParam_2 points to the pcap_pkthdr structure for the packet, and pcap_offline_filter_APIParam_3 points to the data in the packet"
