label,old-label,prop,wrong,,cond,sent,paraph
,,RAND_pseudo_bytes_APIName was deprecated in OpenSSL 1.1.0,,,null,,
,,SSL_get_certificate_APIName and SSL_get_privatekey_APIName return internal pointers that must not be freed by the application program.,,,null,,
6,,"The following return values of SSL_connect_APIName can occur, 0, 1, <0",,,null,,
9,9,This alert is always fatal and should never be observed in communication between proper implementations,,,null,This alert is always fatal and should never be observed in communication between proper implementations.,An inappropriate message was received. This alert is always fatal and should never be observed in communication between proper implementations.
9,9,Only meaningful for client authentication,,,null,Only meaningful for client authentication,CERT_PKEY_CERT_TYPE: the certificate type is acceptable. Only meaningful for client authentication.
9,9,This is only meaningful for client authentication,,,null,This is only meaningful for client authentication,CERT_PKEY_ISSUER_NAME: the issuer name is acceptable. This is only meaningful for client authentication.
9,0,Both BIO_gets_APIName and BIO_puts_APIName are supported,,,null,Both BIO_gets_APIName and BIO_puts_APIName are supported.,Data written to a buffering BIO is buffered and periodically written to the next BIO in the chain. Data read from a buffering BIO comes from an internal buffer which is filled from the next BIO in the chain. Both BIO_gets_APIName and BIO_puts_APIName are supported.
8,9,"The supported protocols are SSLv2 , SSLv3 , TLSv1 , TLSv1 .1 and TLSv1 .2",,,null,"The supported protocols are SSLv2, SSLv3, TLSv1, TLSv1.1 and TLSv1.2","These are the general-purpose version-flexible SSL/TLS methods. The actual protocol version used will be negotiated to the highest version mutually supported by the client and the server. The supported protocols are SSLv2, SSLv3, TLSv1, TLSv1.1 and TLSv1.2. Most applications should use these method, and avoid the version specific methods described below."
8,8,This is needed as a workaround for some implementations,,,null,This is needed as a workaround for some implementations.,Adds a padding extension to ensure the ClientHello size is never between 256 and 511 bytes in length. This is needed as a workaround for some implementations.
8,8,"Only use this in explicit fallback retries , following the guidance in draft-ietf-tls-downgrade-scsv-00",,,null,"Only use this in explicit fallback retries, following the guidance in draft-ietf-tls-downgrade-scsv-00.","DO NOT ENABLE THIS if your application attempts a normal handshake. Only use this in explicit fallback retries, following the guidance in draft-ietf-tls-downgrade-scsv-00."
8,8,DO NOT ENABLE THIS,,,if your application attempts a normal handshake,DO NOT ENABLE THIS if your application attempts a normal handshake.,"DO NOT ENABLE THIS if your application attempts a normal handshake. Only use this in explicit fallback retries, following the guidance in draft-ietf-tls-downgrade-scsv-00."
8,8,Previous versions had to use,,,null,Previous versions had to use:,BIO_next_APIName was added to OpenSSL 0.9.6 to provide a 'clean' way to traverse a BIO chain or find multiple matches using BIO_find_type_APIName. Previous versions had to use:
