"The following return values of SSL_connect_APIName can occur, 0, 1, <0",null,"The following return values of SSL_connect_APIName can occur, 0, 1, <0",SSL_connect_APIName initiates the TLS/SSL handshake with a server. The communication channel must already have been set and assigned to the ssl by setting an underlying BIO.
RSA_private_decrypt_APIParam_3 must point to RSA_size_APIName RSA_private_decrypt_APIParam_4 bytes of memory,null,RSA_private_decrypt_APIParam_3 must point to RSA_size_APIName RSA_private_decrypt_APIParam_4 bytes of memory,"RSA_private_decrypt() decrypts the flen bytes at from using the private key rsa and stores the plaintext in to. flen should be equal to RSA_size(rsa) but may be smaller, when leading zero bytes are in the ciphertext. Those are not important and may be removed, but RSA_public_encrypt() does not do that. to must point to a memory section large enough to hold the maximal possible decrypted data (which is equal to RSA_size(rsa) for RSA_NO_PADDING, RSA_size(rsa) - 11 for the PKCS #1 v1.5 based padding modes and RSA_size(rsa) - 42 for RSA_PKCS1_OAEP_PADDING). padding is the padding mode that was used to encrypt the data. to and from may overlap."
SSL_get_certificate_APIName and SSL_get_privatekey_APIName return internal pointers that must not be freed by the application program,null,SSL_get_certificate_APIName and SSL_get_privatekey_APIName return internal pointers that must not be freed by the application program.,SSL_get_certificate_APIName and SSL_get_privatekey_APIName retrieve certificate and key data from an SSL object. They return internal pointers that must not be freed by the application program.
"EVP_PKEY_CTX_new_APIName, EVP_PKEY_CTX_new_id_APIName, EVP_PKEY_CTX_dup_APIName returns either the newly allocated EVP_PKEY_CTX structure or NULL if an error occurred",null,"EVP_PKEY_CTX_new_APIName, EVP_PKEY_CTX_new_id_APIName, EVP_PKEY_CTX_dup_APIName returns either the newly allocated EVP_PKEY_CTX structure or NULL if an error occurred.","EVP_PKEY_CTX_new(), EVP_PKEY_CTX_new_id(), EVP_PKEY_CTX_dup() returns either the newly allocated EVP_PKEY_CTX structure or NULL if an error occurred."
X509_get_notBefore_APIName and X509_get_notAfter_APIName were deprecated in OpenSSL 1.1.0,null,X509_get_notBefore_APIName and X509_get_notAfter_APIName were deprecated in OpenSSL 1.1.0,X509_get_notBefore_APIName and X509_get_notAfter_APIName were deprecated in OpenSSL 1.1.0
RAND_pseudo_bytes_APIName was deprecated in OpenSSL 1.1.0,null,RAND_pseudo_bytes_APIName was deprecated in OpenSSL 1.1.0,RAND_pseudo_bytes_APIName was deprecated in OpenSSL 1.1.0
"This implies , that all corresponding sessions from an external session cache are removed as well",null,"This implies, that all corresponding sessions from an external session cache are removed as well","If a session-remove callback is set (SSL_CTX_sess_set_remove_cb_APIName), this callback will be called for each session being freed from SSL_CTX_free_APIParam_1's session cache. This implies, that all corresponding sessions from an external session cache are removed as well. If this is not desired, the user should explicitly unset the callback by calling SSL_CTX_sess_set_remove_cb(SSL_CTX_free_APIParam_1, NULL) prior to calling SSL_CTX_free_APIName."
SSL_CTX_free_APIName does not provide diagnostic information,null,SSL_CTX_free_APIName does not provide diagnostic information,SSL_CTX_free_APIName does not provide diagnostic information.
"DSA_do_sign_APIName returns the signature, NULL on error",null,"DSA_do_sign_APIName returns the signature, NULL on error","DSA_do_sign_APIName returns the signature, NULL on error. DSA_do_verify_APIName returns 1 for a valid signature, 0 for an incorrect signature and -1 on error. The error codes can be obtained by ERR_get_error_APIName ."
The error codes can be obtained by ERR_get_error_APIName,null,The error codes can be obtained by ERR_get_error_APIName,"DSA_do_sign_APIName returns the signature, NULL on error. DSA_do_verify_APIName returns 1 for a valid signature, 0 for an incorrect signature and -1 on error. The error codes can be obtained by ERR_get_error_APIName ."
"DSA_do_verify_APIName returns 1 for a valid signature, 0 for an incorrect signature and -1 on error",null,"DSA_do_verify_APIName returns 1 for a valid signature, 0 for an incorrect signature and -1 on error","DSA_do_sign_APIName returns the signature, NULL on error. DSA_do_verify_APIName returns 1 for a valid signature, 0 for an incorrect signature and -1 on error. The error codes can be obtained by ERR_get_error_APIName ."
DSA_sign_setup_APIName may be used to precompute part of the signing operation for each signature in case signature generation is time-critical,null,DSA_sign_setup_APIName may be used to precompute part of the signing operation for each signature in case signature generation is time-critical,DSA_sign_setup_APIName may be used to precompute part of the signing operation for each signature in case signature generation is time-critical.
The lh_stats_bio_APIParam_1 lh_stats_APIParam_1 lh_node_stats_bio_APIParam_1 lh_node_stats_APIParam_1 lh_node_usage_stats_APIParam_1 lh_node_usage_stats_bio_APIParam_1 structure records statistics about most aspects of accessing the hash table,null,The lh_stats_bio_APIParam_1 lh_stats_APIParam_1 lh_node_stats_bio_APIParam_1 lh_node_stats_APIParam_1 lh_node_usage_stats_APIParam_1 lh_node_usage_stats_bio_APIParam_1 structure records statistics about most aspects of accessing the hash table,The lh_stats_bio_APIParam_1 lh_stats_APIParam_1 lh_node_stats_bio_APIParam_1 lh_node_stats_APIParam_1 lh_node_usage_stats_APIParam_1 lh_node_usage_stats_bio_APIParam_1 structure records statistics about most aspects of accessing the hash table. This is mostly a legacy of Eric Young writing this library for the reasons of implementing what looked like a nice algorithm rather than for a particular software product.
lh_node_stats_APIName prints the number of entries for each ` bucket ' in the hash table,null,lh_node_stats_APIName prints the number of entries for each 'bucket' in the hash table,lh_node_stats_APIName prints the number of entries for each 'bucket' in the hash table.
lh_node_usage_stats_APIName prints out a short summary of the state of the hash table,null,lh_node_usage_stats_APIName prints out a short summary of the state of the hash table,"lh_node_usage_stats_APIName prints out a short summary of the state of the hash table. It prints the 'load' and the 'actual load'. The load is the average number of data items per 'bucket' in the hash table. The 'actual load' is the average number of items per 'bucket', but only for buckets which contain entries. So the 'actual load' is the average number of searches that will need to find an item in the hash table, while the 'load' is the average number that will be done to record a miss."
It prints the ` load ' and the ` actual load ',null,It prints the 'load' and the 'actual load',"lh_node_usage_stats_APIName prints out a short summary of the state of the hash table. It prints the 'load' and the 'actual load'. The load is the average number of data items per 'bucket' in the hash table. The 'actual load' is the average number of items per 'bucket', but only for buckets which contain entries. So the 'actual load' is the average number of searches that will need to find an item in the hash table, while the 'load' is the average number that will be done to record a miss."
The load is the average number of data items per ` bucket ' in the hash table,null,The load is the average number of data items per 'bucket' in the hash table,"lh_node_usage_stats_APIName prints out a short summary of the state of the hash table. It prints the 'load' and the 'actual load'. The load is the average number of data items per 'bucket' in the hash table. The 'actual load' is the average number of items per 'bucket', but only for buckets which contain entries. So the 'actual load' is the average number of searches that will need to find an item in the hash table, while the 'load' is the average number that will be done to record a miss."
These functions do not return values,null,These functions do not return values,These functions do not return values.
Several OpenSSL structures can have application specific data attached to Several OpenSSL structures,null,Several OpenSSL structures can have application specific data attached to Several OpenSSL structures,Several OpenSSL structures can have application specific data attached to Several OpenSSL structures. These functions are used internally by OpenSSL to manipulate application specific data attached to a specific structure.
