null,null,resources associated with the sqlite3_open_v2_APIParam_2 should be released by passing sqlite3_open_v2_APIParam_2 to sqlite3_close_APIName.,resources associated with the sqlite3_open_v2_APIParam_2 should be released by passing sqlite3_open_v2_APIParam_2 to sqlite3_close_APIName,sqlite
null,null,resources associated with the sqlite3_open_APIParam_2 should be released by passing sqlite3_open_APIParam_2 to sqlite3_close_APIName.,resources associated with the sqlite3_open_APIParam_2 should be released by passing sqlite3_open_APIParam_2 to sqlite3_close_APIName,sqlite
null,null,The calling procedure is responsible for deleting the compiled SQL statement using sqlite3_finalize_APIName after it has finished with it,The calling procedure is responsible for deleting the compiled sqlite3_prepare_v2_APIParam_4 using sqlite3_finalize_APIName after it has finished with it,sqlite
null,null,The sqlite3_config_APIName interface may only be invoked prior to library initialization using sqlite3_initialize_APIName or after shutdown by sqlite3_shutdown_APIName,The sqlite3_config_APIName interface may only be invoked prior to library initialization using sqlite3_initialize_APIName or after shutdown by sqlite3_shutdown_APIName,sqlite
null,null,"To avoid memory leaks, the application should invoke sqlite3_free_APIName on error message strings returned through the 5_APIConstant parameter of sqlite3_exec_APIName after the error message string is no longer needed","the application should invoke sqlite3_free_APIName on error message strings returned through the 5_APIConstant parameter of sqlite3_exec_APIName after the error message string is no longer needed",sqlite
null,null,The application must ensure that the 1_APIConstant parameter to sqlite3_exec_APIName is a valid and open database connection,The application must ensure that the 1_APIConstant parameter to sqlite3_exec_APIName is a valid and open sqlite3_exec_APIParam_2,sqlite
null,null,Any such actions result in undefined behavior,Any such actions result in undefined behavior,sqlite
null,null,"But for maximum safety , mutexes should be enabled","But for maximum safety , mutexes should be enabled",sqlite
null,null,The incremental blob I/O routines can only read or overwriting existing blob content,The incremental sqlite3_blob_bytes_APIParam_1 can only read or overwriting call sqlite3_blob_reopen_APIName,sqlite
null,null,The safest policy is to invoke these routines in one of the following ways,The safest policy is to invoke these routines in one of the following ways,sqlite
null,null,Only the row can be changed,Only the row can be changed,sqlite
null,null,The only way to find out whether SQLite automatically rolled back the transaction after an error is to use sqlite3_get_autocommit_APIName,The only way to find out whether SQLite automatically rolled back the transaction after an error is to use sqlite3_get_autocommit_APIName,sqlite
null,null,Only built-in memory allocators can be used,Only built_in memory allocators can be used,sqlite
null,null,The following must be true for sqlite3_snapshot_get_APIName to succeed,The following must be true for sqlite3_snapshot_get_APIName to succeed,sqlite
null,null,Applications that need to process SQL from untrusted sources might also consider lowering resource limits using sqlite3_limit_APIName and limiting database size using the max_page_count PRAGMA in addition to using an authorizer,Applications that need to process SQL from untrusted sources might also consider lowering resource limits using sqlite3_limit_APIName and limiting database size using the max_page_count PRAGMA in addition to using an authorizer,sqlite
when sqlite3_snapshot_open_APIName is called,when sqlite3_snapshot_open_APIName is called,the database connection must not be in autocommit mode,the sqlite3_snapshot_open_APIParam_1 must not be in autocommit mode,sqlite
null,null,Only an effective call to sqlite3_shutdown_APIName does any deinitialization,Only an effective call to sqlite3_shutdown_APIName does any deinitialization,sqlite
null,null,the database handle must have no active statements,the database handle must have no active statements,sqlite
If any sqlite3_bind__APIName routine is passed a prepared statement that has been finalized,If any sqlite3_bind__APIName routine is call sqlite3_finalize_APIName that has been finalized,the result is undefined and probably harmful,the result is undefined and probably harmful,sqlite
null,null,There can only be a single busy handler for a particular database connection at any given moment,There can only be a single busy handler for a particular database connection at any given moment,sqlite
When built for other platforms,When built for other platforms,the application must supply a suitable implementation for sqlite3_os_init_APIName and sqlite3_os_end_APIName,the application must supply a suitable implementation for sqlite3_os_init_APIName and sqlite3_os_end_APIName,sqlite
if an out-of-memory error occurs during a format conversion,if an out_of_memory error occurs during a format conversion,"As long as the input parameter is correct , these routines can only fail","As long as the input parameter is correct , these routines can only fail",sqlite
null,null,The unlock-notify callback is not reentrant,The unlock_notify callback is not reentrant,sqlite
