If the threading mode is Single-thread or Multi-thread this routine returns a NULL pointer,null,If the threading mode is Single-thread or Multi-thread then this routine returns a NULL pointer.,This interface returns a pointer the sqlite3_mutex object that serializes access to the database connection given in the argument when the threading mode is Serialized.If the threading mode is Single-thread or Multi-thread then this routine returns a NULL pointer.
The extended result codes are disabled by default for historical compatibility,null,The extended result codes are disabled by default for historical compatibility.,The sqlite3_extended_result_codes_APIName routine enables or disables the extended result codes feature of SQLite.The extended result codes are disabled by default for historical compatibility.
The sqlite3_extended_result_codes_APIName routine enables or disables the extended result codes feature of SQLite,null,The sqlite3_extended_result_codes_APIName routine enables or disables the extended result codes feature of SQLite.,The sqlite3_extended_result_codes_APIName routine enables or disables the extended result codes feature of SQLite.The extended result codes are disabled by default for historical compatibility.
This interface disables all automatic extensions previously registered using sqlite3_auto_extension_APIName,null,This interface disables all automatic extensions previously registered using sqlite3_auto_extension_APIName.,This interface disables all automatic extensions previously registered using sqlite3_auto_extension_APIName.
The application must ensure that the 1_APIConstant parameter to sqlite3_exec_APIName is a valid and open database connection,null,The application must ensure that the 1_APIConstant parameter to sqlite3_exec_APIName is a valid and open database connection.,The application must ensure that the 1_APIConstant parameter to sqlite3_exec_APIName is a valid and open database connection.
These counters can be used to monitor the performance characteristics of the prepared statements,null,These counters can be used to monitor the performance characteristics of the prepared statements.,"Each prepared statement maintains various SQLITE_STMTSTATUS counters that measure the number of times it has performed specific operations.These counters can be used to monitor the performance characteristics of the prepared statements.For example, if the number of table steps greatly exceeds the number of table searches or result rows, that would tend to indicate that the prepared statement is using a full table scan rather than an index."
The current value of the requested counter be returned by sqlite3_stmt_status_APIName,null,The current value of the requested counter be returned by sqlite3_stmt_status_APIName.,"This interface is used to retrieve and reset counter values from a prepared statement.The first argument is the prepared statement object to be interrogated.The second argument is an integer code for a specific SQLITE_STMTSTATUS counter to be interrogated.The current value of the requested counter be returned by sqlite3_stmt_status_APIName.If the sqlite3_stmt_status_APIParam_3 is true, then the counter is reset to zero after this interface call returns."
The first argument is the prepared statement object to be interrogated,null,The first argument is the prepared statement object to be interrogated.,"This interface is used to retrieve and reset counter values from a prepared statement.The first argument is the prepared statement object to be interrogated.The second argument is an integer code for a specific SQLITE_STMTSTATUS counter to be interrogated.The current value of the requested counter be returned by sqlite3_stmt_status_APIName.If the sqlite3_stmt_status_APIParam_3 is true, then the counter is reset to zero after this interface call returns."
This interface is used to retrieve and reset counter values from a prepared statement,null,This interface is used to retrieve and reset counter values from a prepared statement.,"This interface is used to retrieve and reset counter values from a prepared statement.The first argument is the prepared statement object to be interrogated.The second argument is an integer code for a specific SQLITE_STMTSTATUS counter to be interrogated.The current value of the requested counter be returned by sqlite3_stmt_status_APIName.If the sqlite3_stmt_status_APIParam_3 is true, then the counter is reset to zero after this interface call returns."
See also,null,See also: sqlite3_status_APIName and sqlite3_db_status_APIName.,See also: sqlite3_status_APIName and sqlite3_db_status_APIName.
"If the sqlite3_stmt_status_APIParam_3 is true, the counter is reset to zero after this interface call returns",null,"If the sqlite3_stmt_status_APIParam_3 is true, then the counter is reset to zero after this interface call returns.","This interface is used to retrieve and reset counter values from a prepared statement.The first argument is the prepared statement object to be interrogated.The second argument is an integer code for a specific SQLITE_STMTSTATUS counter to be interrogated.The current value of the requested counter be returned by sqlite3_stmt_status_APIName.If the sqlite3_stmt_status_APIParam_3 is true, then the counter is reset to zero after this interface call returns."
